0 ERROR [main] ants.GebiBot  - Test
117 DEBUG [main] ants.GebiBot  - kante nach rechts
117 DEBUG [main] ants.GebiBot  - kante nach unten
117 DEBUG [main] ants.GebiBot  - kante nach rechts
117 DEBUG [main] ants.GebiBot  - kante nach unten
117 DEBUG [main] ants.GebiBot  - kante nach rechts
117 DEBUG [main] ants.GebiBot  - kante nach unten
117 DEBUG [main] ants.GebiBot  - kante nach rechts
117 DEBUG [main] ants.GebiBot  - kante nach unten
117 DEBUG [main] ants.GebiBot  - kante nach rechts
117 DEBUG [main] ants.GebiBot  - kante nach unten
118 DEBUG [main] ants.GebiBot  - kante nach rechts
118 DEBUG [main] ants.GebiBot  - kante nach unten
118 DEBUG [main] ants.GebiBot  - kante nach rechts
118 DEBUG [main] ants.GebiBot  - kante nach unten
118 DEBUG [main] ants.GebiBot  - kante nach rechts
118 DEBUG [main] ants.GebiBot  - kante nach unten
118 DEBUG [main] ants.GebiBot  - kante nach rechts
118 DEBUG [main] ants.GebiBot  - kante nach unten
118 DEBUG [main] ants.GebiBot  - kante nach rechts
118 DEBUG [main] ants.GebiBot  - kante nach unten
118 DEBUG [main] ants.GebiBot  - kante nach unten
118 DEBUG [main] ants.GebiBot  - kante nach rechts
118 DEBUG [main] ants.GebiBot  - kante nach unten
118 DEBUG [main] ants.GebiBot  - kante nach rechts
118 DEBUG [main] ants.GebiBot  - kante nach unten
119 DEBUG [main] ants.GebiBot  - kante nach rechts
119 DEBUG [main] ants.GebiBot  - kante nach unten
119 DEBUG [main] ants.GebiBot  - kante nach rechts
119 DEBUG [main] ants.GebiBot  - kante nach unten
119 DEBUG [main] ants.GebiBot  - kante nach rechts
119 DEBUG [main] ants.GebiBot  - kante nach unten
119 DEBUG [main] ants.GebiBot  - kante nach rechts
119 DEBUG [main] ants.GebiBot  - kante nach unten
119 DEBUG [main] ants.GebiBot  - kante nach rechts
119 DEBUG [main] ants.GebiBot  - kante nach unten
119 DEBUG [main] ants.GebiBot  - kante nach rechts
119 DEBUG [main] ants.GebiBot  - kante nach unten
119 DEBUG [main] ants.GebiBot  - kante nach rechts
119 DEBUG [main] ants.GebiBot  - kante nach unten
120 DEBUG [main] ants.GebiBot  - kante nach rechts
120 DEBUG [main] ants.GebiBot  - kante nach unten
120 DEBUG [main] ants.GebiBot  - kante nach rechts
120 DEBUG [main] ants.GebiBot  - kante nach unten
120 DEBUG [main] ants.GebiBot  - kante nach rechts
121 DEBUG [main] ants.GebiBot  - kante nach unten
121 DEBUG [main] ants.GebiBot  - kante nach rechts
121 DEBUG [main] ants.GebiBot  - kante nach unten
121 DEBUG [main] ants.GebiBot  - kante nach rechts
121 DEBUG [main] ants.GebiBot  - kante nach unten
121 DEBUG [main] ants.GebiBot  - kante nach rechts
121 DEBUG [main] ants.GebiBot  - kante nach unten
121 DEBUG [main] ants.GebiBot  - kante nach rechts
